City,Gender,Education ,Crimes,CMPLNT_FR_DT,CMPLNT_TO_DT,OFNS_DESC,PD_CD,PD_DESC,BORO_NM,ADDR_PCT_CD,PREM_TYP_DESC,Age,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
NY,Female,Secondary,Auto Thefts,9/30/2019,9/30/2016,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,MANHATTAN,7,RESIDENCE - PUBLIC HOUSING,0,989183,201182,40.71888169,-73.98220578,"(40.718881687, -73.982205776)"
NY,Male,Primary ,Murders,9/30/2019,9/30/2016,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",MANHATTAN,7,RESIDENCE - APT. HOUSE,22,988980,201021,40.71843989,-73.98293821,"(40.718439892, -73.982938206)"
NY,Female,Secondary,Rapes,9/30/2019,9/30/2016,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",BROOKLYN,66,STREET,0,985512,168211,40.62838498,-73.99545498,"(40.628384977, -73.995454982)"
NY,Male,Primary ,Robberies,9/30/2019,9/30/2016,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",STATEN ISLAND,121,RESIDENCE-HOUSE,46,942367,146703,40.56925102,-74.15075492,"(40.569251021, -74.150754915)"
NY,Female,Secondary,Assaults,9/30/2019,,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",BROOKLYN,73,RESIDENCE - PUBLIC HOUSING,37,1009905,180751,40.6627675,-73.90752953,"(40.662767503, -73.907529526)"
NY,Male,Primary ,Burglaries,9/30/2019,,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,BRONX,44,TRANSIT - NYC SUBWAY,35,1004749,240880,40.8278199,-73.92593076,"(40.827819901, -73.925930756)"
NY,Female,Secondary,Burglaries,9/30/2019,9/30/2016,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",MANHATTAN,25,OTHER,47,1004138,226326,40.7878746,-73.92818165,"(40.787874599, -73.928181646)"
NY,Male,Primary ,Burglaries,9/30/2019,9/30/2016,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,QUEENS,113,RESIDENCE-HOUSE,39,1046693,191875,40.69311726,-73.77482672,"(40.693117259, -73.774826717)"
NY,Female,Secondary,Burglaries,9/30/2019,,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",BROOKLYN,78,STREET,63,988608,183956,40.67160061,-73.98429122,"(40.671600609, -73.984291215)"
NY,Male,Primary ,Burglaries,9/30/2019,9/30/2016,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",BROOKLYN,77,GROCERY/BODEGA,49,1003090,184597,40.67334104,-73.93208303,"(40.673341037, -73.932083027)"
NY,Female,Secondary,Burglaries,9/30/2019,9/30/2016,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",QUEENS,109,RESIDENCE-HOUSE,31,1036101,224982,40.78405596,-73.81276706,"(40.78405596, -73.812767058)"
NY,Male,Primary ,Burglaries,9/30/2019,9/30/2016,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BROOKLYN,60,STREET,56,986509,153677,40.58849192,-73.99186807,"(40.588491921, -73.991868066)"
NY,Female,Secondary,Burglaries,9/30/2019,9/30/2016,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",MANHATTAN,19,BAR/NIGHT CLUB,48,996773,223149,40.77916808,-73.95478415,"(40.779168082, -73.954784146)"
NY,Male,Primary ,Burglaries,9/30/2019,9/30/2016,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BRONX,42,STREET,68,1012047,241054,40.82827753,-73.8995596,"(40.828277529, -73.899559601)"
NY,Female,Secondary,Murders,9/30/2019,9/30/2016,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",MANHATTAN,30,DEPARTMENT STORE,34,996981,238664,40.82175222,-73.9540037,"(40.821752222, -73.954003697)"
NY,Male,Primary ,Rapes,9/30/2019,,OFFENSES AGAINST PUBLIC ADMINI,748,"CONTEMPT,CRIMINAL",BRONX,46,RESIDENCE - APT. HOUSE,32,1009514,252102,40.85860865,-73.90867073,"(40.858608652, -73.908670731)"
NY,Female,Secondary,Robberies,9/30/2019,,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,QUEENS,115,RESIDENCE-HOUSE,54,1013472,211812,40.74801152,-73.89453771,"(40.748011524, -73.894537711)"
NY,Male,Primary ,Assaults,9/30/2019,9/30/2016,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",BRONX,52,CHAIN STORE,0,1009690,257590,40.87367104,-73.90801365,"(40.873671035, -73.908013649)"
NY,Female,Secondary,Burglaries,9/30/2019,9/30/2016,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,BROOKLYN,73,RESIDENCE - PUBLIC HOUSING,21,1009905,180751,40.6627675,-73.90752953,"(40.662767503, -73.907529526)"
NY,Male,Primary ,Thefts,9/30/2019,9/30/2016,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",BROOKLYN,90,RESIDENCE - APT. HOUSE,0,997393,197714,40.70935447,-73.95259518,"(40.709354468, -73.952595184)"
NY,Female,Secondary,Auto Thefts,9/30/2019,9/30/2016,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",QUEENS,103,RESIDENCE - PUBLIC HOUSING,13,1042115,191592,40.69237161,-73.79133774,"(40.692371607, -73.791337737)"
NY,Male,Primary ,Murders,9/30/2019,9/30/2016,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",BRONX,52,RESIDENCE - APT. HOUSE,27,1010463,254335,40.8647348,-73.90523131,"(40.864734795, -73.905231314)"
NY,Female,Secondary,Rapes,9/30/2019,,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",BRONX,52,RESIDENCE - APT. HOUSE,37,1015198,254840,40.86610554,-73.88811014,"(40.866105536, -73.888110141)"
NY,Male,Primary ,Robberies,9/30/2019,9/30/2016,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",BRONX,47,RESIDENCE - APT. HOUSE,15,1028273,259127,40.8778165,-73.8408099,"(40.877816498, -73.8408099)"
NY,Female,Post Graduate,Assaults,9/30/2019,9/30/2016,SEX CRIMES,175,"SEXUAL ABUSE 3,2",BROOKLYN,72,STREET,19,,,,,
NY,Male,Primary ,Burglaries,9/30/2019,9/30/2016,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",BROOKLYN,79,RESIDENCE - PUBLIC HOUSING,0,999105,192881,40.69608631,-73.94643073,"(40.696086309, -73.946430731)"
NY,Female,Post Graduate,Thefts,9/30/2019,9/30/2016,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,STATEN ISLAND,121,RESIDENCE - PUBLIC HOUSING,50,938947,168933,40.63025096,-74.16321391,"(40.630250957, -74.163213908)"
NY,Male,Primary ,Auto Thefts,9/30/2019,9/30/2016,OFFENSES AGAINST PUBLIC ADMINI,750,RESISTING ARREST,STATEN ISLAND,120,STREET,22,961194,163266,40.61478207,-74.08304568,"(40.61478207, -74.083045677)"
NY,Female,Post Graduate,Sex Crimes,9/30/2019,9/30/2016,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,BRONX,40,RESIDENCE - PUBLIC HOUSING,22,1005386,235950,40.81428694,-73.92364456,"(40.814286944, -73.92364456)"
NY,Male,Primary ,Forgery,9/30/2019,9/30/2016,DANGEROUS DRUGS,500,"CONTROLLED SUBSTANCE,POSSESS.",MANHATTAN,32,STREET,0,998911,236510,40.81583711,-73.94703522,"(40.815837106, -73.947035216)"
NY,Female,Post Graduate,Sex Crimes,9/30/2019,,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",BROOKLYN,75,STREET,0,1019745,184405,40.67276293,-73.87204264,"(40.672762932, -73.872042637)"
NY,Male,Primary ,Forgery,9/30/2019,9/30/2016,FELONY ASSAULT,105,STRANGULATION 1ST,QUEENS,114,RESIDENCE - PUBLIC HOUSING,67,1001899,221194,40.77379337,-73.93628063,"(40.773793373, -73.936280628)"
NY,Female,Post Graduate,Sex Crimes,9/30/2019,9/30/2016,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",BROOKLYN,67,RESIDENCE-HOUSE,30,997784,172132,40.63913704,-73.95123623,"(40.639137043, -73.951236227)"
NY,Male,Primary ,Forgery,9/30/2019,9/30/2016,FORGERY,723,"FORGERY,DRIVERS LICENSE",BROOKLYN,84,STREET,0,989092,191411,40.69206264,-73.98254108,"(40.692062641, -73.982541079)"
NY,Female,Post Graduate,Sex Crimes,9/30/2019,9/30/2016,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",BROOKLYN,81,RESIDENCE - PUBLIC HOUSING,24,1001727,191635,40.69266154,-73.9369784,"(40.692661539, -73.936978402)"
NY,Male,Primary ,Forgery,9/30/2019,9/30/2016,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO",MANHATTAN,18,STREET,50,986160,216285,40.76033685,-73.99310689,"(40.760336849, -73.993106885)"
NY,Female,Post Graduate,Sex Crimes,9/30/2019,9/30/2016,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,QUEENS,115,STREET,61,1021092,215278,40.75749634,-73.86701778,"(40.757496344, -73.867017777)"
NY,Male,Primary ,Forgery,9/30/2019,9/30/2016,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BROOKLYN,67,RESIDENCE - APT. HOUSE,23,999809,172040,40.6388812,-73.94394004,"(40.638881198, -73.943940035)"
NY,Female,Secondary,Sex Crimes,9/30/2019,9/30/2016,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,QUEENS,115,RESIDENCE-HOUSE,37,1021245,215986,40.75943898,-73.86646162,"(40.759438982, -73.866461618)"
NY,Male,Primary ,Forgery,9/30/2019,9/30/2016,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",QUEENS,113,RESIDENCE-HOUSE,12,1050341,189860,40.68756008,-73.76169155,"(40.687560076, -73.761691552)"
NY,Female,Secondary,Sex Crimes,9/30/2019,9/30/2016,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,MANHATTAN,19,STREET,26,994454,219487,40.76911983,-73.96316301,"(40.769119832, -73.963163012)"
NY,Male,Primary ,Forgery,9/30/2019,9/30/2016,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",BRONX,49,GROCERY/BODEGA,69,1022681,254648,40.86554915,-73.86105678,"(40.86554915, -73.861056782)"
NY,Female,Secondary,Sex Crimes,9/30/2019,9/30/2016,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",QUEENS,105,RESIDENCE-HOUSE,0,1062212,207577,40.73609218,-73.7186824,"(40.736092182, -73.718682399)"
NY,Male,Primary ,Forgery,9/30/2019,9/30/2016,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,MANHATTAN,9,RESIDENCE - PUBLIC HOUSING,66,991222,202091,40.7213753,-73.97484919,"(40.721375302, -73.974849193)"
NY,Female,Secondary,Sex Crimes,9/30/2019,,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",MANHATTAN,32,RESIDENCE - APT. HOUSE,27,1001374,238163,40.8203697,-73.93813285,"(40.820369696, -73.938132846)"
NY,Male,Primary ,Forgery,9/30/2019,9/30/2016,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,BROOKLYN,67,RESIDENCE - APT. HOUSE,51,1006807,175875,40.64939239,-73.91871238,"(40.649392388, -73.918712383)"
NY,Female,Secondary,Sex Crimes,9/30/2019,9/30/2016,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",MANHATTAN,23,RESIDENCE - PUBLIC HOUSING,47,1000531,229408,40.79634124,-73.94119982,"(40.796341237, -73.941199816)"
NY,Male,Primary ,Forgery,9/30/2019,9/30/2016,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",BRONX,41,TRANSIT - NYC SUBWAY,33,1010774,235171,40.81213427,-73.90418271,"(40.812134274, -73.904182714)"
NY,Female,Secondary,Sex Crimes,9/30/2019,,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,BRONX,52,RESIDENCE - APT. HOUSE,62,1013947,254987,40.8665133,-73.89263243,"(40.866513303, -73.892632428)"
NY,Male,Primary ,Forgery,9/30/2019,,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",BRONX,41,RESIDENCE - APT. HOUSE,35,1011632,238408,40.82101631,-73.90106996,"(40.82101631, -73.90106996)"
NY,Female,Secondary,Murders,9/30/2019,9/30/2016,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",MANHATTAN,32,RESIDENCE - APT. HOUSE,32,1001220,239781,40.82481095,-73.93868515,"(40.824810945, -73.938685153)"
NY,Male,Primary ,Rapes,9/30/2019,9/30/2016,NYS LAWS-UNCLASSIFIED FELONY,847,"NY STATE LAWS,UNCLASSIFIED FEL",BROOKLYN,70,STREET,36,995104,161573,40.61015849,-73.96090968,"(40.610158488, -73.960909681)"
NY,Female,Secondary,Robberies,9/30/2019,9/30/2016,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,QUEENS,107,RESIDENCE - APT. HOUSE,0,1042047,198473,40.71125873,-73.7915239,"(40.711258734, -73.791523895)"
NY,Male,Primary ,Assaults,9/30/2019,9/30/2016,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",STATEN ISLAND,121,GROCERY/BODEGA,42,942825,166367,40.62322682,-74.14922697,"(40.623226819, -74.149226973)"
NY,Female,Secondary,Burglaries,9/30/2019,9/30/2016,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",MANHATTAN,23,RESIDENCE - PUBLIC HOUSING,30,998625,230177,40.79845524,-73.94808202,"(40.79845524, -73.948082015)"
NY,Male,Primary ,Thefts,9/30/2019,9/30/2016,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,BROOKLYN,78,TRANSIT - NYC SUBWAY,23,991724,186291,40.67800758,-73.97305571,"(40.678007577, -73.973055705)"
NY,Female,Secondary,Auto Thefts,9/30/2019,9/30/2016,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,QUEENS,110,RESIDENCE - APT. HOUSE,56,1016558,209467,40.74156436,-73.88341145,"(40.741564355, -73.883411451)"
NY,Male,Primary ,Murders,9/30/2019,,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",MANHATTAN,1,BUS (NYC TRANSIT),42,980782,196771,40.70677524,-74.0125099,"(40.706775236, -74.012509895)"
NY,Female,Secondary,Rapes,9/30/2019,9/30/2016,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",BROOKLYN,60,RESIDENCE-HOUSE,39,993787,151295,40.58194896,-73.96566749,"(40.581948961, -73.965667494)"
NY,Male,Primary ,Robberies,9/30/2019,9/30/2016,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,MANHATTAN,34,RESIDENCE - APT. HOUSE,0,1005425,254690,40.86572268,-73.9234445,"(40.865722684, -73.923444502)"
NY,Female,Secondary,Assaults,9/30/2019,,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",MANHATTAN,34,COMMERCIAL BUILDING,24,1005747,253516,40.86249963,-73.9222841,"(40.862499631, -73.922284097)"
NY,Male,Primary ,Burglaries,9/30/2019,9/30/2016,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",MANHATTAN,7,RESIDENCE - APT. HOUSE,29,989183,201182,40.71888169,-73.98220578,"(40.718881687, -73.982205776)"
NY,Female,Secondary,Thefts,9/30/2019,9/30/2016,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",MANHATTAN,24,RESIDENCE - PUBLIC HOUSING,48,992587,227883,40.79216659,-73.96989283,"(40.79216659, -73.96989283)"
NY,Male,Primary ,Auto Thefts,9/30/2019,9/30/2016,DANGEROUS DRUGS,568,"MARIJUANA, POSSESSION 1, 2 & 3",BRONX,49,STREET,47,1025934,252167,40.8587248,-73.84931123,"(40.858724801, -73.849311234)"
NY,Female,Secondary,Murders,9/30/2019,9/30/2016,VEHICLE AND TRAFFIC LAWS,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",BRONX,49,RESIDENCE - PUBLIC HOUSING,25,1021823,252489,40.85962705,-73.86417092,"(40.859627046, -73.864170921)"
NY,Male,Primary ,Rapes,9/30/2019,9/30/2016,OFFENSES AGAINST PUBLIC ADMINI,748,"CONTEMPT,CRIMINAL",MANHATTAN,34,RESIDENCE - APT. HOUSE,48,1003030,248137,40.84774208,-73.93212184,"(40.84774208, -73.932121836)"
NY,Female,Secondary,Robberies,9/30/2019,9/30/2016,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",BROOKLYN,88,RESIDENCE - PUBLIC HOUSING,50,991704,192337,40.69460248,-73.97312112,"(40.694602482, -73.973121123)"
NY,Male,Primary ,Assaults,9/30/2019,9/30/2016,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",BROOKLYN,62,RESIDENCE - APT. HOUSE,43,988047,162475,40.61264013,-73.98632566,"(40.612640125, -73.98632566)"
NY,Female,Secondary,Burglaries,9/30/2019,,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,QUEENS,103,RESIDENCE-HOUSE,86,1049111,200950,40.71800852,-73.76601984,"(40.71800852, -73.766019835)"
NY,Male,Primary ,Burglaries,9/30/2019,,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",BROOKLYN,75,STREET,49,1022302,183208,40.66946682,-73.86283147,"(40.669466817, -73.862831471)"
NY,Female,Secondary,Burglaries,9/1/2012,,SEX CRIMES,175,"SEXUAL ABUSE 3,2",BROOKLYN,83,RESIDENCE - APT. HOUSE,42,,,,,
NY,Male,Primary ,Burglaries,9/30/2019,9/30/2016,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,BROOKLYN,62,STREET,41,985037,163700,40.61600328,-73.99716673,"(40.616003277, -73.997166734)"
NY,Female,Secondary,Forgery,9/30/2019,9/30/2016,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",QUEENS,105,PARKING LOT/GARAGE (PRIVATE),30,1049144,179166,40.6582164,-73.76611061,"(40.658216403, -73.766110611)"
NY,Male,Primary ,Sex Crimes,9/30/2019,9/30/2016,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",MANHATTAN,25,RESIDENCE - PUBLIC HOUSING,30,1001108,231977,40.80339136,-73.93910943,"(40.803391359, -73.939109432)"
NY,Female,Secondary,Forgery,9/30/2019,9/30/2016,THEFT OF SERVICES,475,UNAUTH. SALE OF TRANS. SERVICE,MANHATTAN,7,TRANSIT - NYC SUBWAY,53,987521,201066,40.71856407,-73.98820145,"(40.718564066, -73.988201454)"
NY,Male,Primary ,Sex Crimes,9/30/2019,9/30/2016,ROBBERY,366,"ROBBERY,BICYCLE",BROOKLYN,70,STREET,11,994549,173637,40.6432723,-73.96289016,"(40.643272298, -73.962890162)"
NY,Female,Secondary,Forgery,9/30/2019,9/30/2016,ROBBERY,383,"ROBBERY,DELIVERY PERSON",BROOKLYN,81,STREET,39,1001951,187437,40.68113855,-73.93618168,"(40.681138546, -73.936181675)"
NY,Male,Primary ,Sex Crimes,9/30/2019,9/30/2016,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",STATEN ISLAND,121,RESIDENCE - PUBLIC HOUSING,0,939367,169549,40.63194388,-74.16170488,"(40.631943881, -74.161704881)"
NY,Female,Secondary,Forgery,9/30/2019,,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,BROOKLYN,71,RESIDENCE - APT. HOUSE,31,996283,183521,40.67039953,-73.95662426,"(40.670399527, -73.956624257)"
NY,Male,Primary ,Sex Crimes,9/30/2019,9/30/2016,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,BRONX,44,RESIDENCE - APT. HOUSE,20,1007501,243435,40.83482583,-73.91597788,"(40.834825825, -73.915977882)"
NY,Female,Secondary,Forgery,9/30/2019,,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,BROOKLYN,88,STREET,34,995737,187656,40.6817499,-73.95858546,"(40.681749896, -73.958585458)"
NY,Male,Primary ,Murders,9/30/2019,,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",BRONX,44,CHAIN STORE,19,1007615,245357,40.84010086,-73.91555922,"(40.840100856, -73.915559219)"
NY,Female,Secondary,Rapes,9/30/2019,,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",QUEENS,113,STREET,29,1052401,190729,40.68992965,-73.75425489,"(40.689929651, -73.754254885)"
NY,Male,Primary ,Robberies,9/30/2019,9/30/2016,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",BROOKLYN,79,RESIDENCE - PUBLIC HOUSING,26,999105,192881,40.69608631,-73.94643073,"(40.696086309, -73.946430731)"
NY,Female,Secondary,Assaults,9/30/2019,9/30/2016,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",BROOKLYN,75,STREET,0,1015129,182068,40.6663657,-73.88869392,"(40.666365697, -73.888693916)"
NY,Male,Primary ,Burglaries,9/30/2019,9/30/2016,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,QUEENS,100,FOOD SUPERMARKET,45,1036299,153335,40.58740068,-73.81260554,"(40.587400679, -73.812605541)"
NY,Female,Secondary,Thefts,9/30/2019,9/30/2016,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",MANHATTAN,20,DRUG STORE,38,989163,220184,40.77103744,-73.98226405,"(40.771037439, -73.982264048)"
NY,Male,Primary ,Auto Thefts,9/30/2019,9/30/2016,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",BRONX,44,GROCERY/BODEGA,54,1007383,245479,40.84043632,-73.91639726,"(40.840436321, -73.916397256)"
NY,Female,Secondary,Murders,9/30/2019,,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",BROOKLYN,71,DEPARTMENT STORE,25,1003292,180090,40.6609699,-73.93136755,"(40.660969895, -73.931367545)"
NY,Male,Primary ,Rapes,9/30/2019,9/30/2016,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",MANHATTAN,13,DEPARTMENT STORE,51,985689,208934,40.7401603,-73.99480863,"(40.740160295, -73.994808634)"
NY,Female,Secondary,Robberies,9/30/2019,9/30/2016,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",BRONX,52,DEPARTMENT STORE,26,1009690,257590,40.87367104,-73.90801365,"(40.873671035, -73.908013649)"
NY,Male,Primary ,Assaults,9/30/2019,,DANGEROUS DRUGS,505,"CONTROLLED SUBSTANCE, POSSESSI",BRONX,40,OTHER,0,1008596,231485,40.8020235,-73.91206417,"(40.802023496, -73.912064166)"
NY,Female,Secondary,Burglaries,9/30/2019,9/30/2016,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,BROOKLYN,76,STREET,30,986118,187963,40.6825998,-73.99326635,"(40.682599797, -73.993266349)"
NY,Male,Primary ,Thefts,9/30/2019,,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",BROOKLYN,79,RESIDENCE - APT. HOUSE,42,1001031,188116,40.68300404,-73.93949698,"(40.683004039, -73.939496982)"
NY,Female,Secondary,Auto Thefts,9/30/2019,9/30/2016,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",MANHATTAN,1,GYM/FITNESS FACILITY,21,980417,196210,40.70523527,-74.01382607,"(40.705235272, -74.013826065)"
